Time,Y_1,Y_2,X_1,X_2,U_1,U_2
11178.0,0.23440951,0.50005794,0.23440951,0.50005794,0.37099376,0.3439871
11179.0,0.23451118,0.50133175,0.23451118,0.50133175,0.37099376,0.3439871
11180.0,0.23460875,0.50257415,0.23460875,0.50257415,0.37099376,0.3439871
11181.0,0.23470236,0.5037859,0.23470236,0.5037859,0.37099376,0.3439871
11182.0,0.2347922,0.5049677,0.2347922,0.5049677,0.37099376,0.3439871
11183.0,0.2348784,0.5061203,0.2348784,0.5061203,0.37099376,0.3439871
11184.0,0.23496112,0.50724435,0.23496112,0.50724435,0.37099376,0.3439871
11185.0,0.23504049,0.5083406,0.23504049,0.5083406,0.37099376,0.3439871
11186.0,0.23511666,0.5094097,0.23511666,0.5094097,0.37099376,0.3439871
11187.0,0.23518974,0.5104523,0.23518974,0.5104523,0.37099376,0.3439871
11188.0,0.23525988,0.51146895,0.23525988,0.51146895,0.37099376,0.3439871
11189.0,0.23532717,0.5124604,0.23532717,0.5124604,0.37099376,0.3439871
11190.0,0.23539175,0.51342726,0.23539175,0.51342726,0.37099376,0.3439871
11191.0,0.23545372,0.51437,0.23545372,0.51437,0.37099376,0.3439871
11192.0,0.2355132,0.51528937,0.2355132,0.51528937,0.37099376,0.3439871
11193.0,0.23557027,0.5161858,0.23557027,0.5161858,0.37099376,0.3439871
11194.0,0.23562504,0.5170599,0.23562504,0.5170599,0.37099376,0.3439871
11195.0,0.2356776,0.5179122,0.2356776,0.5179122,0.37099376,0.3439871
11196.0,0.23572803,0.5187432,0.23572803,0.5187432,0.37099376,0.3439871
11197.0,0.23577642,0.5195535,0.23577642,0.5195535,0.37099376,0.3439871
11198.0,0.23582287,0.52034354,0.23582287,0.52034354,0.37099376,0.3439871
11199.0,0.23586744,0.5211138,0.23586744,0.5211138,0.37099376,0.3439871
11200.0,0.23591022,0.5218648,0.23591022,0.5218648,0.39959884,0.077654175
11201.0,0.2457646,0.5151764,0.2457646,0.5151764,0.39959884,0.077654175
11202.0,0.25522923,0.50905603,0.25522923,0.50905603,0.39959884,0.077654175
11203.0,0.26432642,0.5034672,0.26432642,0.5034672,0.39959884,0.077654175
11204.0,0.27307647,0.4983759,0.27307647,0.4983759,0.39959884,0.077654175
11205.0,0.2814979,0.49375075,0.2814979,0.49375075,0.39959884,0.077654175
11206.0,0.28960776,0.48956254,0.28960776,0.48956254,0.39959884,0.077654175
11207.0,0.2974217,0.48578402,0.2974217,0.48578402,0.39959884,0.077654175
11208.0,0.30495423,0.48238975,0.30495423,0.48238975,0.39959884,0.077654175
11209.0,0.31221882,0.47935593,0.31221882,0.47935593,0.39959884,0.077654175
11210.0,0.31922796,0.47666025,0.31922796,0.47666025,0.39959884,0.077654175
11211.0,0.3259933,0.4742818,0.3259933,0.4742818,0.39959884,0.077654175
11212.0,0.33252573,0.47220096,0.33252573,0.47220096,0.39959884,0.077654175
11213.0,0.33883548,0.47039926,0.33883548,0.47039926,0.39959884,0.077654175
11214.0,0.34493208,0.46885937,0.34493208,0.46885937,0.39959884,0.077654175
11215.0,0.35082456,0.46756497,0.35082456,0.46756497,0.39959884,0.077654175
